CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Bladder
cg27113059,0.0175,0.1516,0.02,0.0102,0.0193,0.0112,0.0054,0.0128,0.0344
cg16652741,0.0153,0.1406,0.0268,0.023,0.0579,0.0098,0.0049,0.0021,0.0473
cg18932726,0.0214,0.2166,0.0294,0.0373,0.1604,0.007,0.0009,0.0033,0.1125
cg05608777,0.015,0.1465,0.0227,0.025,0.0866,0.0091,0.0051,0.0028,0.0643
cg00212988,0.0179,0.1761,0.085,0.0372,0.1257,0.0164,0.0049,0.0082,0.0238
cg23654127,0.047,0.1742,0.1352,0.0669,0.1613,0.0476,0.0353,0.0428,0.0622
cg01552272,0.0671,0.2997,0.1894,0.1061,0.314,0.0403,0.0143,0.0092,0.0812
cg04624110,0.1034,0.3605,0.2756,0.1243,0.3694,0.0517,0.0185,0.0076,0.0867
cg23169957,0.074,0.3164,0.204,0.1076,0.3256,0.0488,0.0444,0.0354,0.1066
cg25557432,0.0309,0.2264,0.0931,0.0419,0.2005,0.0164,0.0064,0.0082,0.0434
cg04716990,0.022,0.202,0.0634,0.0278,0.1617,0.0107,0.0048,0.0083,0.0519
cg26059153,0.0155,0.1552,0.0588,0.017,0.1148,0.008,0.0047,0.0,0.0327
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007,0.0045,0.0037,0.0347
cg27166993,0.0224,0.1371,0.0485,0.0295,0.1195,0.0201,0.0045,0.0075,0.0134
cg05502701,0.0312,0.183,0.0844,0.0402,0.1758,0.0222,0.0048,0.0058,0.0613
cg24353443,0.0223,0.2536,0.1194,0.0475,0.265,0.0248,0.0145,0.0303,0.0814
cg10111115,0.1609,0.3154,0.2596,0.1774,0.3262,0.1532,0.1568,0.099,0.2077
cg14473924,0.1565,0.4055,0.325,0.2034,0.4314,0.1544,0.1311,0.1033,0.2287
cg10755973,0.006,0.1178,0.0078,0.0043,0.032,0.003,0.0007,0.0,0.1383
cg08675717,0.0086,0.1243,0.0226,0.0106,0.0338,0.0082,0.0061,0.0071,0.0139
cg13330559,0.0315,0.2254,0.0459,0.0242,0.1535,0.0185,0.0037,0.0041,0.1167
cg21599230,0.0239,0.213,0.0733,0.1039,0.134,0.0369,0.0112,0.0162,0.0126
cg18314424,0.0275,0.171,0.0607,0.025,0.0682,0.0186,0.0032,0.0091,0.0349
cg27051931,0.0278,0.1691,0.0527,0.0325,0.0993,0.0235,0.0155,0.0145,0.0151
cg02487453,0.0233,0.191,0.0756,0.0386,0.1543,0.0151,0.0049,0.006,0.0697
cg02422426,0.0339,0.1607,0.0364,0.0303,0.0347,0.0189,0.0033,0.0052,0.0775
cg13524302,0.0708,0.2419,0.0739,0.0414,0.1298,0.0422,0.0201,0.0021,0.0371
cg23075555,0.0485,0.218,0.093,0.0332,0.1241,0.0324,0.0086,0.0116,0.0552
cg24465429,0.0535,0.1783,0.0677,0.0466,0.0853,0.0424,0.0309,0.0091,0.0579
cg02662362,0.056,0.188,0.0685,0.0358,0.0813,0.0409,0.01,0.0005,0.0521
cg17833071,0.1792,0.3384,0.2416,0.1684,0.2575,0.1671,0.1106,0.0729,0.2436
cg24266485,0.2001,0.3116,0.2193,0.1751,0.2324,0.1798,0.15,0.0985,0.2326
cg06781135,0.0326,0.2149,0.157,0.0275,0.1731,0.0223,0.009,0.0,0.024
cg11369071,0.1235,0.2838,0.2576,0.124,0.2696,0.1148,0.0444,0.1006,0.113
cg14051842,0.1143,0.1764,0.1527,0.0989,0.1489,0.1023,0.079,0.09,0.1251
cg12272837,0.0434,0.1802,0.1163,0.053,0.1931,0.0397,0.0224,0.0038,0.0189
cg02935627,0.0982,0.2381,0.1723,0.1244,0.2372,0.1049,0.0808,0.039,0.0586
cg12835048,0.0448,0.2012,0.0836,0.0382,0.114,0.0359,0.0136,0.0173,0.0372
cg09880551,0.0381,0.2592,0.0728,0.0451,0.1814,0.0178,0.0065,0.0124,0.0647
cg21173447,0.0929,0.3056,0.1543,0.1195,0.251,0.0834,0.0428,0.0474,0.1188
cg25591794,0.0217,0.1401,0.0544,0.0348,0.0979,0.0096,0.006,0.0078,0.0345
cg13524302,0.0708,0.2419,0.0739,0.0414,0.1298,0.0422,0.0201,0.0021,0.0371
cg23075555,0.0485,0.218,0.093,0.0332,0.1241,0.0324,0.0086,0.0116,0.0552
cg24465429,0.0535,0.1783,0.0677,0.0466,0.0853,0.0424,0.0309,0.0091,0.0579
cg02662362,0.056,0.188,0.0685,0.0358,0.0813,0.0409,0.01,0.0005,0.0521
cg17833071,0.1792,0.3384,0.2416,0.1684,0.2575,0.1671,0.1106,0.0729,0.2436
cg24266485,0.2001,0.3116,0.2193,0.1751,0.2324,0.1798,0.15,0.0985,0.2326
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035,0.0066,0.003,0.0847
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107,0.005,0.0032,0.0585
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056,0.0033,0.0035,0.0516
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012,0.0031,0.0098,0.1154
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073,0.0037,0.0077,0.0732
cg02910208,0.0086,0.1132,0.0296,0.0117,0.0606,0.0078,0.0051,0.0007,0.0092
cg14487131,0.0149,0.1373,0.0325,0.0134,0.0739,0.0106,0.0068,0.0024,0.0612
cg24531022,0.0055,0.0373,0.249,0.0102,0.0542,0.0069,0.0062,0.0021,0.0192
cg15085899,0.0182,0.3064,0.9096,0.6285,0.9416,0.0214,0.0291,0.0058,0.0617
cg12034678,0.002,0.0038,0.2081,0.0143,0.3418,0.0059,0.004,0.001,0.0304
cg05412028,0.0505,0.2034,0.4616,0.1819,0.4656,0.094,0.0314,0.003,0.0126
cg26685941,0.0926,0.2244,0.4153,0.2005,0.377,0.1513,0.0843,0.0309,0.0599
cg02003159,0.013,0.1017,0.1329,0.021,0.1955,0.0088,0.0018,0.007,0.036
cg24124443,0.0322,0.2448,0.6001,0.1601,0.6207,0.0192,0.0182,0.007,0.0795
cg03384992,0.0242,0.0777,0.1662,0.0238,0.1769,0.0151,0.0318,0.0,0.0068
cg06593258,0.1062,0.2451,0.3644,0.1529,0.3824,0.1041,0.0857,0.0301,0.0619
cg26398656,0.0655,0.146,0.2173,0.0708,0.2373,0.066,0.051,0.0385,0.0469
cg11006267,0.0041,0.0073,0.2862,0.0123,0.1929,0.0061,0.0014,0.0211,0.0603
cg02983950,0.014,0.0467,0.3526,0.021,0.175,0.0087,0.0084,0.0241,0.0433
cg14873488,0.0076,0.0105,0.3339,0.0224,0.3467,0.012,0.0093,0.0273,0.0743
cg00349895,0.0128,0.0176,0.2845,0.0394,0.2075,0.0198,0.0022,0.0386,0.0476
cg01022974,0.0097,0.0152,0.3157,0.0365,0.2515,0.013,0.0091,0.0127,0.0638
cg05164926,0.0153,0.0618,0.5027,0.0592,0.4184,0.062,0.0115,0.0285,0.1415
cg18213545,0.0278,0.14,0.5196,0.159,0.5962,0.0328,0.0341,0.0773,0.1714
cg10831212,0.0232,0.2169,0.805,0.3763,0.815,0.0279,0.0324,0.0417,0.1037
cg19210276,0.0479,0.2196,0.7612,0.2369,0.7931,0.0489,0.0245,0.0678,0.1234
cg15650509,0.019,0.0776,0.2674,0.0342,0.2273,0.0362,0.0135,0.0081,0.0278
cg15473346,0.0067,0.0212,0.4348,0.3965,0.3725,0.0076,0.0341,0.0224,0.02
cg06121450,0.055,0.0621,0.2654,0.2322,0.2345,0.0538,0.0367,0.0744,0.0727
cg14612335,0.0187,0.0265,0.4059,0.0758,0.3501,0.021,0.0194,0.0369,0.0384
cg00349895,0.0128,0.0176,0.2845,0.0394,0.2075,0.0198,0.0022,0.0386,0.0476
cg01022974,0.0097,0.0152,0.3157,0.0365,0.2515,0.013,0.0091,0.0127,0.0638
cg16208357,0.0167,0.0457,0.1009,0.0268,0.1414,0.015,0.0039,0.0098,0.0837
cg24104567,0.0196,0.0451,0.1923,0.0268,0.262,0.0174,0.0119,0.0002,0.0553
cg02763536,0.0199,0.0463,0.1868,0.0398,0.2192,0.0209,0.0064,0.0078,0.0776
cg03717364,0.0259,0.1671,0.507,0.1366,0.5148,0.03,0.0082,0.0359,0.1466
cg04011671,0.0182,0.1079,0.4632,0.0796,0.4595,0.0228,0.0116,0.0265,0.0754
cg02971575,0.0061,0.0513,0.1226,0.0129,0.199,0.003,0.0025,0.0046,0.0106
cg07363543,0.0151,0.036,0.5132,0.1669,0.291,0.0175,0.0155,0.0214,0.0377
cg15232539,0.043,0.2209,0.6885,0.0636,0.4478,0.0536,0.065,0.0383,0.063
cg21344746,0.0119,0.0453,0.3864,0.0977,0.4667,0.0138,0.0084,0.0095,0.0604
cg25606201,0.0331,0.0628,0.4102,0.1225,0.3174,0.0378,0.015,0.0448,0.0727
cg26008365,0.0168,0.0269,0.6347,0.2155,0.5495,0.0267,0.0276,0.0216,0.0912
cg10640944,0.0296,0.0476,0.2213,0.0282,0.0781,0.0295,0.0083,0.0136,0.0206
cg16208357,0.0167,0.0457,0.1009,0.0268,0.1414,0.015,0.0039,0.0098,0.0837
cg24104567,0.0196,0.0451,0.1923,0.0268,0.262,0.0174,0.0119,0.0002,0.0553
cg02763536,0.0199,0.0463,0.1868,0.0398,0.2192,0.0209,0.0064,0.0078,0.0776
cg08640252,0.0218,0.074,0.2135,0.0462,0.2376,0.0324,0.0185,0.0008,0.0473
cg18976418,0.0371,0.1234,0.7549,0.1574,0.7622,0.0367,0.1054,0.0544,0.1272
cg25365958,0.0924,0.1507,0.6594,0.2218,0.7509,0.1047,0.0507,0.0262,0.0708
cg16247817,0.0337,0.2043,0.3067,0.0339,0.1107,0.0367,0.071,0.0462,0.0239
cg24408896,0.2118,0.4257,0.5082,0.1057,0.3781,0.2173,0.2663,0.072,0.0879
cg10683341,0.021,0.0369,0.2424,0.0458,0.2454,0.0282,0.0063,0.0206,0.0391
cg23651614,0.0399,0.046,0.2346,0.0836,0.2355,0.0387,0.0309,0.0447,0.0543
cg10831212,0.0232,0.2169,0.805,0.3763,0.815,0.0279,0.0324,0.0417,0.1037
cg19210276,0.0479,0.2196,0.7612,0.2369,0.7931,0.0489,0.0245,0.0678,0.1234
cg08092930,0.0393,0.1626,0.32,0.185,0.3783,0.0125,0.0193,0.0148,0.03
cg15416179,0.0125,0.0834,0.238,0.0778,0.2688,0.0145,0.0377,0.0023,0.0131
cg18609578,0.0401,0.0922,0.3912,0.0782,0.3203,0.0474,0.0309,0.0311,0.0356
cg03997390,0.0603,0.0842,0.2495,0.0743,0.2148,0.0564,0.0533,0.0513,0.0836
cg12446199,0.0247,0.0235,0.6269,0.4531,0.6429,0.0282,0.0128,0.0186,0.1489
cg22707529,0.0357,0.0516,0.4232,0.0893,0.3902,0.0342,0.0313,0.0407,0.1131
cg20865323,0.0306,0.0321,0.2781,0.0511,0.2551,0.0281,0.0158,0.0268,0.0571
cg27557428,0.017,0.1809,0.2929,0.1555,0.263,0.016,0.0967,0.0122,0.0167
cg12426092,0.065,0.1681,0.7631,0.2713,0.8449,0.0704,0.0356,0.0284,0.1163
cg13469590,0.0155,0.0212,0.2046,0.0474,0.3339,0.0165,0.0091,0.0043,0.0242
cg13607248,0.0403,0.0288,0.3333,0.1313,0.5397,0.0793,0.0277,0.0384,0.0475
cg05103231,0.0547,0.0556,0.1417,0.0566,0.1186,0.048,0.0312,0.0058,0.0156
cg26860970,0.175,0.1737,0.2956,0.1818,0.2958,0.1694,0.1186,0.0112,0.0386
cg16555181,0.1757,0.2037,0.3098,0.1937,0.3151,0.1815,0.1596,0.0809,0.1151
cg02186769,0.2375,0.2336,0.3416,0.2366,0.3358,0.2426,0.1763,0.0799,0.1259
cg03666441,0.0681,0.2445,0.5316,0.4382,0.5821,0.0996,0.038,0.0096,0.0395
cg13152952,0.0033,0.0153,0.1911,0.0101,0.1092,0.0067,0.1818,0.0084,0.0194
cg13437525,0.0283,0.0304,0.4168,0.0373,0.1662,0.0272,0.0154,0.042,0.0962
cg02501827,0.0141,0.1808,0.7005,0.152,0.7069,0.0167,0.0169,0.0278,0.1445
cg12492653,0.132,0.3235,0.7297,0.3725,0.7551,0.1178,0.111,0.1643,0.3016
cg05795313,0.0409,0.1216,0.4183,0.1836,0.4183,0.0252,0.0345,0.049,0.0701
cg21272996,0.0559,0.3004,0.8268,0.471,0.8334,0.0516,0.058,0.0659,0.141
cg25728685,0.0326,0.0475,0.4853,0.2229,0.6441,0.0808,0.0534,0.0212,0.067
cg27424995,0.0044,0.0161,0.3868,0.1355,0.5634,0.0151,0.007,0.0104,0.2333
cg22707529,0.0357,0.0516,0.4232,0.0893,0.3902,0.0342,0.0313,0.0407,0.1131
cg20865323,0.0306,0.0321,0.2781,0.0511,0.2551,0.0281,0.0158,0.0268,0.0571
cg22306344,0.0057,0.0206,0.1708,0.0204,0.319,0.0093,0.0139,0.0137,0.032
cg11153400,0.0263,0.182,0.2204,0.0835,0.1916,0.0287,0.0301,0.0097,0.0105
cg26394940,0.056,0.218,0.2383,0.1283,0.2295,0.0585,0.0798,0.0414,0.0438
cg10421247,0.049,0.2284,0.4653,0.2985,0.4789,0.0678,0.047,0.0248,0.0543
cg25737313,0.0346,0.0398,0.33,0.252,0.3453,0.0374,0.0167,0.0337,0.0073
cg16704678,0.005,0.0112,0.1115,0.018,0.1286,0.0056,0.002,0.0096,0.02
cg17329494,0.0223,0.1432,0.4496,0.1638,0.5016,0.0233,0.0202,0.0102,0.0876
cg25104621,0.0194,0.0352,0.1342,0.0291,0.2146,0.0212,0.0047,0.0054,0.0134
cg10837858,0.0345,0.0559,0.1425,0.0517,0.2127,0.0385,0.0197,0.0449,0.0387
cg23600866,0.0485,0.1552,0.3827,0.1342,0.3556,0.0505,0.0498,0.0535,0.0677
cg04850765,0.0128,0.1033,0.2382,0.0573,0.2624,0.0151,0.0029,0.0105,0.0261
cg11911122,0.0318,0.0436,0.3715,0.0566,0.3849,0.0332,0.0194,0.0585,0.0665
cg25150243,0.1429,0.3526,0.5073,0.2471,0.5318,0.13,0.0999,0.0548,0.0317
cg25417405,0.3275,0.3917,0.5232,0.3923,0.515,0.3292,0.3118,0.1667,0.1659
cg10040748,0.0348,0.0462,0.3972,0.1577,0.3534,0.038,0.0295,0.0456,0.092
cg19725489,0.0225,0.0869,0.3706,0.3026,0.4204,0.0234,0.0272,0.0307,0.0812
cg21863949,0.1354,0.2816,0.451,0.2106,0.5237,0.2042,0.0462,0.0094,0.0519
cg08388111,0.0292,0.0416,0.2394,0.0399,0.1983,0.0366,0.0201,0.0151,0.0529
cg14222879,0.0068,0.0107,0.1397,0.0139,0.1604,0.0079,0.0057,0.0234,0.0306
cg14247332,0.0075,0.0872,0.0954,0.0278,0.1683,0.0159,0.0052,0.0,0.0136
cg09878888,0.0395,0.1932,0.5472,0.1854,0.5966,0.04,0.021,0.0504,0.1353
cg15846482,0.0594,0.1618,0.4837,0.1125,0.6204,0.0655,0.055,0.0547,0.0855
cg27653384,0.2588,0.5146,0.7997,0.1924,0.6164,0.2619,0.525,0.0182,0.1272
cg25011475,0.0354,0.1026,0.2975,0.1009,0.3638,0.0339,0.0454,0.0241,0.0677
cg12917475,0.0444,0.0598,0.335,0.0576,0.3362,0.0458,0.0321,0.0539,0.1169
cg05877109,0.0437,0.0504,0.346,0.0578,0.3464,0.0429,0.0143,0.0394,0.089
cg25149155,0.0848,0.104,0.3859,0.1053,0.3913,0.0817,0.0451,0.076,0.1236
cg04542489,0.0246,0.0511,0.214,0.0433,0.2158,0.0278,0.0376,0.073,0.0528
cg13687825,0.0364,0.0752,0.095,0.0046,0.0045,0.004,0.0134,0.0083,0.1395
cg09226051,0.2677,0.5207,0.6428,0.3584,0.6478,0.3312,0.1052,0.0432,0.0662
cg03717364,0.0259,0.1671,0.507,0.1366,0.5148,0.03,0.0082,0.0359,0.1466
cg04011671,0.0182,0.1079,0.4632,0.0796,0.4595,0.0228,0.0116,0.0265,0.0754
cg01564818,0.0397,0.3071,0.6319,0.4273,0.6512,0.052,0.0372,0.0559,0.0992
cg01870865,0.0447,0.4884,0.7885,0.6457,0.822,0.1337,0.1228,0.0471,0.1104
cg26654286,0.0323,0.0426,0.3089,0.0413,0.1679,0.0305,0.0268,0.0447,0.0771
cg00236832,0.0507,0.0639,0.2185,0.0611,0.1336,0.0513,0.0337,0.0603,0.0727
cg19276111,0.1374,0.2935,0.704,0.069,0.655,0.1284,0.097,0.0335,0.1667
cg11183072,0.0292,0.0853,0.495,0.303,0.5834,0.0343,0.0122,0.0411,0.1482
cg13761998,0.0851,0.1618,0.4641,0.3418,0.531,0.0828,0.064,0.1398,0.2356
cg17740645,0.0853,0.1646,0.5087,0.45,0.5807,0.0874,0.0713,0.154,0.2149
cg16015423,0.0185,0.1589,0.2667,0.0729,0.323,0.0174,0.0081,0.0061,0.0747
cg17765751,0.0178,0.0896,0.1054,0.0329,0.1424,0.0161,0.0098,0.0144,0.0435
cg23161218,0.0185,0.0499,0.3752,0.1667,0.3966,0.0194,0.0138,0.0315,0.1199
cg15995296,0.0653,0.1432,0.421,0.243,0.4598,0.0727,0.033,0.0272,0.0847
cg19903071,0.0489,0.1805,0.5895,0.2361,0.6533,0.0463,0.022,0.0425,0.1305
cg13461447,0.0929,0.275,0.5028,0.1756,0.5513,0.0869,0.1349,0.045,0.067
cg06528063,0.01,0.0234,0.1519,0.0226,0.1766,0.0097,0.0671,0.0136,0.0273
cg04545296,0.0236,0.1233,0.3615,0.0732,0.3562,0.0245,0.0128,0.0489,0.1121
cg26404511,0.0254,0.1631,0.5152,0.1075,0.5951,0.0284,0.0058,0.0369,0.1225
cg01607849,0.0959,0.4154,0.4552,0.3333,0.4956,0.0701,0.1359,0.0249,0.0314
cg15784646,0.0949,0.1745,0.6452,0.3149,0.6477,0.1481,0.0386,0.0824,0.1577
cg17525495,0.0969,0.3885,0.8941,0.7506,0.9072,0.1316,0.0832,0.0692,0.2433
cg04347477,0.1367,0.4555,0.7009,0.3335,0.6973,0.1287,0.0783,0.0734,0.2016
cg04406436,0.0316,0.0865,0.3438,0.0395,0.2188,0.0316,0.0115,0.0944,0.0542
cg05041073,0.0087,0.0153,0.1183,0.0291,0.2586,0.0108,0.0038,0.0052,0.0047
cg21936280,0.0716,0.1235,0.3656,0.1865,0.4711,0.0776,0.0714,0.0994,0.1848
cg08360820,0.0206,0.0152,0.2273,0.0804,0.5047,0.0186,0.0267,0.0275,0.0268
cg02573357,0.0616,0.389,0.7635,0.3846,0.8099,0.0589,0.0586,0.0735,0.1652
cg18108087,0.0355,0.0404,0.1998,0.0419,0.0773,0.0385,0.0195,0.035,0.0402
cg06074992,0.04,0.0901,0.2928,0.1246,0.2153,0.0398,0.0822,0.0452,0.0591
cg18213545,0.0278,0.14,0.5196,0.159,0.5962,0.0328,0.0341,0.0773,0.1714
cg10831212,0.0232,0.2169,0.805,0.3763,0.815,0.0279,0.0324,0.0417,0.1037
cg04313875,0.0056,0.0114,0.0071,0.2367,0.018,0.0058,0.0057,0.0041,0.0033
cg16256390,0.0908,0.1742,0.0988,0.3931,0.1717,0.0857,0.0575,0.0843,0.4728
cg27043010,0.0208,0.0535,0.0367,0.354,0.072,0.0267,0.0101,0.0076,0.2643
cg01447281,0.0512,0.1822,0.0829,0.563,0.2215,0.0435,0.063,0.0536,0.0835
cg08635931,0.0234,0.0443,0.0763,0.3286,0.1732,0.0274,0.0523,0.0469,0.0301
cg15473346,0.0067,0.0212,0.4348,0.3965,0.3725,0.0076,0.0341,0.0224,0.02
cg06121450,0.055,0.0621,0.2654,0.2322,0.2345,0.0538,0.0367,0.0744,0.0727
cg09284949,0.0275,0.1171,0.3893,0.6994,0.4194,0.066,0.0115,0.0393,0.0446
cg15770702,0.0327,0.0553,0.0731,0.3566,0.0807,0.0336,0.0941,0.0792,0.0272
cg13279811,0.0857,0.1824,0.2238,0.5383,0.2322,0.0955,0.0637,0.0449,0.0484
cg15085899,0.0182,0.3064,0.9096,0.6285,0.9416,0.0214,0.0291,0.0058,0.0617
cg08462306,0.0105,0.0179,0.0156,0.2203,0.0204,0.0118,0.0154,0.0334,0.0188
cg24254387,0.0465,0.0573,0.0558,0.3296,0.0602,0.0488,0.0405,0.0958,0.04
cg12043428,0.0293,0.0748,0.0484,0.2438,0.0679,0.0473,0.0203,0.0325,0.0194
cg03666441,0.0681,0.2445,0.5316,0.4382,0.5821,0.0996,0.038,0.0096,0.0395
cg01088404,0.0505,0.1958,0.4913,0.7173,0.777,0.0441,0.0854,0.0615,0.1244
cg21570709,0.107,0.4258,0.1891,0.5668,0.2945,0.1439,0.04,0.0485,0.1273
cg16898124,0.0446,0.1319,0.1526,0.1783,0.2597,0.0549,0.0135,0.0135,0.0296
cg07392085,0.0455,0.1269,0.0659,0.347,0.1462,0.0442,0.0792,0.0661,0.0547
cg23643435,0.0572,0.0991,0.0793,0.3078,0.1371,0.0366,0.0144,0.0133,0.0449
cg05604112,0.0414,0.055,0.0544,0.216,0.0816,0.0398,0.0253,0.044,0.0501
cg26635214,0.0274,0.1539,0.1335,0.1711,0.1309,0.0329,0.0218,0.0381,0.0172
cg02256631,0.1115,0.0841,0.1647,0.4087,0.1282,0.1154,0.0436,0.0789,0.0606
cg12717729,0.0398,0.2233,0.2522,0.3766,0.2734,0.0344,0.1727,0.0535,0.079
cg19725489,0.0225,0.0869,0.3706,0.3026,0.4204,0.0234,0.0272,0.0307,0.0812
cg00738869,0.0289,0.2202,0.0783,0.3179,0.1706,0.0309,0.0057,0.0598,0.0724
cg12446199,0.0247,0.0235,0.6269,0.4531,0.6429,0.0282,0.0128,0.0186,0.1489
cg16411883,0.0386,0.0934,0.2007,0.3835,0.2994,0.0404,0.0348,0.0464,0.0507
cg18660064,0.058,0.1611,0.4331,0.4707,0.5128,0.0538,0.0596,0.0394,0.1102
cg19286686,0.0356,0.0798,0.092,0.0962,0.2079,0.0423,0.0201,0.0429,0.0567
cg23967461,0.0305,0.129,0.159,0.2544,0.353,0.0351,0.0261,0.0419,0.0595
cg08447324,0.0303,0.0873,0.036,0.2276,0.0421,0.0304,0.0194,0.0172,0.0088
cg25737313,0.0346,0.0398,0.33,0.252,0.3453,0.0374,0.0167,0.0337,0.0073
cg01870865,0.0447,0.4884,0.7885,0.6457,0.822,0.1337,0.1228,0.0471,0.1104
cg05406868,0.0391,0.1526,0.1111,0.2695,0.1573,0.0676,0.0295,0.0399,0.06
cg01014262,0.0486,0.3928,0.5442,0.5302,0.6562,0.0495,0.1141,0.0601,0.0911
cg22961457,0.0533,0.3785,0.2436,0.4946,0.3852,0.0719,0.0563,0.0507,0.1138
cg17525495,0.0969,0.3885,0.8941,0.7506,0.9072,0.1316,0.0832,0.0692,0.2433
cg00066663,0.0779,0.4071,0.283,0.5309,0.366,0.0789,0.1076,0.0834,0.1168
cg01664727,0.1563,0.378,0.4812,0.5565,0.6591,0.205,0.0947,0.0343,0.0376
cg09802389,0.0331,0.0868,0.1594,0.269,0.2418,0.0378,0.0315,0.0278,0.0612
cg13357602,0.0401,0.0393,0.3672,0.3348,0.6233,0.1038,0.0368,0.0103,0.0484
cg01018002,0.0514,0.0976,0.0903,0.1759,0.2178,0.0413,0.0239,0.0149,0.0264
cg24691069,0.0082,0.0277,0.0936,0.1465,0.2157,0.0088,0.0079,0.0472,0.0353
cg22501342,0.0526,0.0922,0.2292,0.3251,0.3766,0.0598,0.0615,0.1623,0.1253
cg21161394,0.0307,0.0722,0.5483,0.4611,0.5514,0.0437,0.0102,0.0293,0.2344
cg02648847,0.0663,0.058,0.6887,0.5829,0.6288,0.0717,0.0487,0.0608,0.216
cg02676175,0.3715,0.5324,0.5227,0.7034,0.3788,0.5406,0.2494,0.0805,0.1825
cg23829102,0.055,0.2474,0.4531,0.7345,0.6383,0.0492,0.1217,0.084,0.1548
cg13315450,0.0955,0.0733,0.0838,0.4583,0.0813,0.0678,0.3589,0.104,0.1128
cg03484180,0.3351,0.5002,0.4451,0.5203,0.4695,0.3651,0.348,0.0304,0.0553
cg13072940,0.3103,0.4098,0.3838,0.4154,0.4012,0.3223,0.3454,0.0878,0.1368
cg05047486,0.0464,0.0752,0.1339,0.244,0.2477,0.0473,0.0505,0.0473,0.0501
cg06126721,0.1714,0.5973,0.8595,0.6986,0.8984,0.2274,0.1286,0.0528,0.1303
cg23728447,0.1098,0.2426,0.3299,0.5482,0.4939,0.1073,0.224,0.0408,0.0672
cg20381404,0.0311,0.0948,0.0165,0.1154,0.0873,0.0663,0.0092,0.079,0.0124
cg08462306,0.0105,0.0179,0.0156,0.2203,0.0204,0.0118,0.0154,0.0334,0.0188
cg24254387,0.0465,0.0573,0.0558,0.3296,0.0602,0.0488,0.0405,0.0958,0.04
cg22897141,0.2632,0.1968,0.2586,0.3176,0.2072,0.2014,0.1245,0.1749,0.055
cg09915396,0.0752,0.0594,0.4533,0.5088,0.5128,0.0891,0.118,0.1064,0.1904
cg02076355,0.109,0.1106,0.2456,0.4722,0.4428,0.1122,0.1008,0.1364,0.1675
cg18584387,0.0284,0.0855,0.0557,0.3322,0.0721,0.0318,0.0297,0.1934,0.1096
cg07066369,0.0095,0.0571,0.035,0.1957,0.047,0.0124,0.0022,0.1308,0.0826
cg17580045,0.058,0.1108,0.0821,0.2466,0.1007,0.0673,0.0667,0.2009,0.1485
cg24070123,0.0836,0.191,0.1752,0.229,0.184,0.0153,0.1114,0.0194,0.027
cg23125506,0.118,0.0493,0.6529,0.5579,0.6075,0.125,0.4021,0.0531,0.1767
cg11930955,0.2552,0.2336,0.1097,0.6185,0.1938,0.3346,0.3623,0.1198,0.1499
cg10911160,0.0575,0.0696,0.1018,0.1465,0.1508,0.0649,0.0739,0.0635,0.0564
cg23917399,0.069,0.0685,0.1888,0.4628,0.2708,0.0961,0.1612,0.0565,0.089
cg05783185,0.0432,0.2948,0.6614,0.6564,0.7465,0.0517,0.2325,0.0882,0.1477
cg11639950,0.315,0.6388,0.9145,0.8927,0.9266,0.5323,0.4818,0.0675,0.2398
cg17187521,0.094,0.3494,0.6994,0.5745,0.7575,0.1337,0.1003,0.0727,0.2157
cg21161394,0.0307,0.0722,0.5483,0.4611,0.5514,0.0437,0.0102,0.0293,0.2344
cg02648847,0.0663,0.058,0.6887,0.5829,0.6288,0.0717,0.0487,0.0608,0.216
cg13909895,0.3046,0.3832,0.3413,0.5167,0.2378,0.3219,0.2669,0.0208,0.0492
cg26604214,0.0804,0.0805,0.1915,0.3669,0.3231,0.0848,0.0756,0.1206,0.0847
cg18584387,0.0284,0.0855,0.0557,0.3322,0.0721,0.0318,0.0297,0.1934,0.1096
cg07066369,0.0095,0.0571,0.035,0.1957,0.047,0.0124,0.0022,0.1308,0.0826
cg17580045,0.058,0.1108,0.0821,0.2466,0.1007,0.0673,0.0667,0.2009,0.1485
cg23051299,0.2057,0.3467,0.2096,0.3499,0.2129,0.1681,0.349,0.0375,0.0386
cg20704342,0.1466,0.2364,0.1622,0.1844,0.1646,0.1279,0.1985,0.0783,0.0977
cg26476925,0.0941,0.4557,0.7401,0.7552,0.7779,0.0898,0.1606,0.085,0.1843
cg24011261,0.0138,0.1059,0.1189,0.2689,0.1896,0.0233,0.0446,0.0531,0.0757
cg05551922,0.0318,0.1283,0.1345,0.2224,0.1906,0.0384,0.0135,0.0134,0.0418
cg05055782,0.0678,0.1818,0.2348,0.3568,0.2693,0.0859,0.0698,0.0761,0.0933
cg03214730,0.0405,0.0518,0.1067,0.2082,0.1151,0.0441,0.0808,0.0568,0.0481
